Offense,Month,Attempted,Completed,Total
,Jun - 2020,154,"1,760","1,914"
,Jul - 2020,166,"1,701","1,867"
,Aug - 2020,153,"1,762","1,915"
,Sep - 2020,150,"1,670","1,820"
,Oct - 2020,168,"1,937","2,105"
,Nov - 2020,185,"2,117","2,302"
,Dec - 2020,182,"2,266","2,448"
,Jan - 2021,183,"2,114","2,297"
,Feb - 2021,150,"1,586","1,736"
,Mar - 2021,155,"1,546","1,701"
,Apr - 2021,151,"1,552","1,703"
,May - 2021,169,"1,862","2,031"
,Jun - 2021,152,"1,619","1,771"
,Jul - 2021,170,"1,774","1,944"
,Aug - 2021,170,"1,734","1,904"
,Sep - 2021,159,"1,683","1,842"
,Oct - 2021,170,"1,717","1,887"
,Nov - 2021,190,"1,606","1,796"
,Dec - 2021,191,"1,806","1,997"
,Jan - 2022,164,"1,601","1,765"
,Feb - 2022,150,"1,414","1,564"
,Mar - 2022,153,"1,597","1,750"
,Apr - 2022,149,"1,683","1,832"
,May - 2022,180,"1,846","2,026"
,Jun - 2022,162,"1,768","1,930"
,Jul - 2022,180,"1,710","1,890"
,Aug - 2022,166,"1,676","1,842"
,Sep - 2022,165,"1,532","1,697"
,Oct - 2022,157,"1,601","1,758"
,Nov - 2022,150,"1,433","1,583"
,Dec - 2022,148,"1,579","1,727"
,Jan - 2023,175,"1,549","1,724"
,Feb - 2023,131,"1,465","1,596"
,Mar - 2023,161,"1,626","1,787"
,Apr - 2023,172,"1,585","1,757"
,May - 2023,152,"1,703","1,855"
,Jun - 2023,133,"1,599","1,732"
,Jul - 2023,187,"1,692","1,879"
,Aug - 2023,168,"1,547","1,715"
,Sep - 2023,201,"1,609","1,810"
,Oct - 2023,183,"1,607","1,790"
,Nov - 2023,176,"1,600","1,776"
,Dec - 2023,180,"1,622","1,802"
,Jan - 2024,174,"1,588","1,762"
,Feb - 2024,134,"1,360","1,494"
,Mar - 2024,158,"1,480","1,638"
,Apr - 2024,190,"1,578","1,768"
